127.0.0.1 - - [14/Sep/2023:19:49:43 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:43 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:47 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:47 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:49 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:49 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:49 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:49:49 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:19:51:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
