0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:39:01 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:39:01 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:39:08 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:01 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?marca=carlos HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:01 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:01 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:01 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:01 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:02 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 200 36553
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 7420
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9331
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:03 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16770
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:04 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:04 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:04 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:04 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:57:24 -0300] "GET /css/admin.css HTTP/1.1" 404 781
