127.0.0.1 - - [28/Aug/2023:20:10:28 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:28 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:30 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:30 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:30 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:33 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:33 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:33 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16770
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:10:36 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:11:24 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:11:25 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:11:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:11:54 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:11:54 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1060
