127.0.0.1 - - [29/Jun/2023:19:00:29 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:29 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:00:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:17:45 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:17:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:17:51 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:17:51 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:17:51 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:18:30 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:18:30 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:18:54 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:19:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:19:06 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:19:06 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:19:07 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:19:46 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:20:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:20:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:20:49 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:20:49 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:20:50 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:21:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:21:05 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:21:05 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:21:05 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:21:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Jun/2023:19:21:06 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 521
