127.0.0.1 - - [28/Jun/2023:18:52:07 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Jun/2023:18:52:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [28/Jun/2023:18:52:07 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:06 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:06 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:07 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:07 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 200 36553
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:02:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:13 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:03:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:04:26 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:04:26 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:04:26 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:06:48 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:19:06:48 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
